Year,Period,Aus,NSW,Vic,Qld,SA,WA,NT,Tas,ACT
2011,Week,18.2,14.8,19.9,18.1,17.9,23.1,26.3,18.9,23.1
,Month,27.1,23.9,29.9,25.8,27,31,35.9,28,33.3
,Year,40.2,37.5,42.6,37.9,39.3,45.1,51.7,40.2,48
2013,Week,16.5,15.8,16.4,17,13.8,18.2,23.9,13,24.5
,Month,24.5,24,25.3,23.6,20.2,27.1,32.4,22.2,34.2
,Year,37.5,38,38,35.4,31.7,41.3,46.5,34.4,47.4
2015,Week,17.4,16.7,16.6,16.1,16.6,23,24.1,17.8,21.2
,Month,24.3,23.4,23.2,22.1,23.1,31.8,32.6,23.8,29.7
,Year,36.3,35.8,35.9,33.2,33,43.3,46.1,34.8,44.1
2017,Week,15.5,12.5,16.7,16.6,14,18.5,25.6,16,26
,Month,21.8,17.8,23.5,24.1,19.9,24.8,33.6,23.8,33.5
,Year,34.2,29.5,35.8,35.4,30.9,41.9,46.1,34.9,46.5
2019,Week,13.8,12.9,13.7,13.5,13,15.6,21.3,14.8,22.2
,Month,21.4,19.6,22.7,22,18.5,22.2,29.2,22.2,31.7
,Year,35,32.8,35.4,35.6,29.8,40.8,43.7,34.3,43.6
2021,Week,18,15.4,18.6,19.2,17.4,21.4,21.7,18.1,23.3
,Month,30.7,24.1,27.3,27.7,26.7,32,33.7,26.8,30.7
,Year,44.3,36,40.4,42.4,38.3,46.7,49.6,43.8,44.3
2023,Week,15,15.1,17.1,14.3,12.7,13.4,16.9,11.5,13.4
,Month,23.9,24.4,26.4,22.5,21.1,21.6,26.5,19.2,24.5
,Year,36.7,38.1,38.7,34.3,31.8,35.9,39.6,32,39
