geo_point_2d,geo_shape,central_asset_id,feature_location,type
"-37.59732531, 143.841321","{""coordinates"": [143.841321, -37.59732531], ""type"": ""Point""}",00326001,Bike Rack - Sebastopol Office (Outside front of building),Stainless steel hoop
"-37.59734844, 143.84169198","{""coordinates"": [143.84169198, -37.59734844], ""type"": ""Point""}",00326002,Bike Rack- Sebastopol Offices (Rear of the Library),
"-37.56508002, 143.86256064","{""coordinates"": [143.86256064, -37.56508002], ""type"": ""Point""}",00234077,Bike Rack - Albert H Graham Reserve,
"-37.55691711, 143.79994998","{""coordinates"": [143.79994998, -37.55691711], ""type"": ""Point""}",00227654,Bike Rack - Alfredton Recreation Reserve,
"-37.65069846, 143.88458526","{""coordinates"": [143.88458526, -37.65069846], ""type"": ""Point""}",00227876,Bike Rack - Buninyong Municipal Reserve,
"-37.53714699, 143.84179008","{""coordinates"": [143.84179008, -37.53714699], ""type"": ""Point""}",00212537,Bike Rack - Charles Edward Brown Reserve,
"-37.53691902, 143.84137392","{""coordinates"": [143.84137392, -37.53691902], ""type"": ""Point""}",00212539,Bike Rack - Charles Edward Brown Reserve,
"-37.55219103, 143.84448108","{""coordinates"": [143.84448108, -37.55219103], ""type"": ""Point""}",00334870,Bike Rack - Lake Wendouree (Outside Ballarat City Rowing Club),Spiral type 5 hoops
"-37.54028403, 143.85944304","{""coordinates"": [143.85944304, -37.54028403], ""type"": ""Point""}",00257500,Bike Rack - Midlands Reserve (Aquatic Playspace),
"-37.56316005, 143.85613806","{""coordinates"": [143.85613806, -37.56316005], ""type"": ""Point""}",00213390,Bike Rack - Phoenix Foundry Mall,
"-37.56308139, 143.85594348","{""coordinates"": [143.85594348, -37.56308139], ""type"": ""Point""}",00225582,Bike Rack - Phoenix Foundry Mall,
"-37.56314475, 143.85615804","{""coordinates"": [143.85615804, -37.56314475], ""type"": ""Point""}",00225603,Bike Rack - Phoenix Foundry Mall,
"-37.59727905, 143.84097792","{""coordinates"": [143.84097792, -37.59727905], ""type"": ""Point""}",00256715,Bike Rack - Albert Street (Outside Furniture Shop),
"-37.55980881, 143.8566075","{""coordinates"": [143.8566075, -37.55980881], ""type"": ""Point""}",00225302,Bike Rack - Armstrong Street North,
"-37.56506706, 143.85561696","{""coordinates"": [143.85561696, -37.56506706], ""type"": ""Point""}",00256841,Bike Rack - Armstrong Street South (Outside St Lawrence),
"-37.560051, 143.84443986","{""coordinates"": [143.84443986, -37.560051], ""type"": ""Point""}",00256705,Bike Rack - Ascot Street North (Outside Australia Post),
"-37.56266604, 143.86411404","{""coordinates"": [143.86411404, -37.56266604], ""type"": ""Point""}",00256828,Bike Rack - Bridge Mall (Outside S Three Promotions),
"-37.56138183, 143.8592886","{""coordinates"": [143.8592886, -37.56138183], ""type"": ""Point""}",00225508,Bike Rack - Camp Street,
"-37.56404205, 143.854767","{""coordinates"": [143.854767, -37.56404205], ""type"": ""Point""}",00256816,Bike Rack - Dana Street (Outside Smith and Jennings),
"-37.55932569, 143.8551684","{""coordinates"": [143.8551684, -37.55932569], ""type"": ""Point""}",00224325,Bike Rack - Dawson Street North (Outside Peter Labor Hotel),Stainless steel Hoop
"-37.55965851, 143.85523302","{""coordinates"": [143.85523302, -37.55965851], ""type"": ""Point""}",00225238,Bike Rack - Doveton Street North,
"-37.5493617, 143.85718944","{""coordinates"": [143.85718944, -37.5493617], ""type"": ""Point""}",00252425,Bike Rack - Doveton Street North (Gove Cycles),
"-37.56115665, 143.847423","{""coordinates"": [143.847423, -37.56115665], ""type"": ""Point""}",00224356,Bike Rack - Drummond Street South (Outside Lapochetta),Stainless steel hoop
"-37.53379872, 143.83866528","{""coordinates"": [143.83866528, -37.53379872], ""type"": ""Point""}",00224107,Bike Rack - Grandview Grove,Stainless single hoop
"-37.5675156, 143.8586946","{""coordinates"": [143.8586946, -37.5675156], ""type"": ""Point""}",00225073,Bike Rack - Grant Street,
"-37.55943495, 143.8672041","{""coordinates"": [143.8672041, -37.55943495], ""type"": ""Point""}",00305014,Bike Rack - Humffray Street North (Outside Eastern Hotel),
"-37.5629535, 143.85935844","{""coordinates"": [143.85935844, -37.5629535], ""type"": ""Point""}",00225087,Bike Rack - Lewis Street,
"-37.55996091, 143.85816702","{""coordinates"": [143.85816702, -37.55996091], ""type"": ""Point""}",00225324,Bike Rack - Lydiard Street North,
"-37.55945295, 143.85825918","{""coordinates"": [143.85825918, -37.55945295], ""type"": ""Point""}",00225333,Bike Rack - Lydiard Street North,
"-37.56056796, 143.85800304","{""coordinates"": [143.85800304, -37.56056796], ""type"": ""Point""}",00256301,Bike Rack - Lydiard Street North (Outside Ballarat Art Gallery),
