Lon,Lat,
143.841321,-37.59732531,
143.841692,-37.59734844,
143.8625606,-37.56508002,
143.79995,-37.55691711,
143.8845853,-37.65069846,
143.8417901,-37.53714699,
143.8413739,-37.53691902,
143.8444811,-37.55219103,
143.859443,-37.54028403,
143.8561381,-37.56316005,
143.8559435,-37.56308139,
143.856158,-37.56314475,
143.8409779,-37.59727905,
143.8566075,-37.55980881,
143.855617,-37.56506706,
143.8444399,-37.560051,
143.864114,-37.56266604,
143.8592886,-37.56138183,
143.854767,-37.56404205,
143.8551684,-37.55932569,
143.855233,-37.55965851,
143.8571894,-37.5493617,
143.847423,-37.56115665,
143.8386653,-37.53379872,
143.8586946,-37.5675156,
143.8672041,-37.55943495,
143.8593584,-37.5629535,
143.858167,-37.55996091,
143.8582592,-37.55945295,
143.858003,-37.56056796,
143.8560297,-37.55956212,
143.8548948,-37.55927763,
143.8639492,-37.56026862,
143.8634927,-37.56049389,
143.8640095,-37.56036627,
143.8567866,-37.55798712,
143.8537739,-37.56157947,
143.8537352,-37.56115728,
143.845713,-37.56076326,
143.8516046,-37.56141351,
143.8537293,-37.56175857,
143.8418086,-37.55987154,
143.8423202,-37.56021201,
143.8452758,-37.56019833,
143.8604023,-37.56246246,
143.8595566,-37.56236823,
143.8587198,-37.56225996,
143.8573628,-37.56213126,
143.8516427,-37.56147201,
143.850762,-37.56136068,
143.8501898,-37.56131289,
143.8491962,-37.56116025,
143.8485458,-37.56109446,
143.8416007,-37.56031227,
143.8409893,-37.56021885,
143.8467534,-37.56036888,
143.8467426,-37.56039993,
143.8506801,-37.56087243,
143.859272,-37.56240603,
143.855158,-37.56189294,
143.8462791,-37.56091797,
143.8001726,-37.55508588,
143.8417971,-37.53722196,
143.8232492,-37.54734966,
143.830555,-37.54367802,
143.844118,-37.55270799,
143.8559662,-37.56314079,
143.818695,-37.55048499,
143.858799,-37.56410802,
143.8565796,-37.56052863,
143.8564052,-37.56146724,
143.8569673,-37.5576138,
143.8564574,-37.5606612,
143.8558196,-37.56361833,
143.8557962,-37.56366882,
143.8651966,-37.56264903,
143.865196,-37.56263814,
143.7840085,-37.54385739,
143.783953,-37.54374588,
143.863843,-37.56198195,
143.8532217,-37.56235419,
143.8552366,-37.55960937,
143.8318222,-37.53012555,
143.8298491,-37.54023606,
143.8289413,-37.54023048,
143.8854003,-37.65043926,
143.8848562,-37.6502256,
143.8843786,-37.65007818,
143.8848041,-37.650708,
143.8580842,-37.5604362,
143.85757,-37.56368097,
143.8578178,-37.55961396,
143.8634129,-37.5604578,
143.8485856,-37.56063429,
143.8466819,-37.56037464,
143.8492354,-37.56115719,
143.8500859,-37.56131838,
143.8409011,-37.56021075,
143.8456583,-37.5607773,
143.8538022,-37.56173094,
143.839487,-37.55961045,
143.8485869,-37.56066237,
143.8604914,-37.56209499,
143.849916,-37.56082203,
143.8559561,-37.56195,
143.8833535,-37.56501,
143.8835049,-37.56531753,
143.8426629,-37.55384703,
143.8659531,-37.570059,
143.844786,-37.60211196,
143.8559725,-37.5631092,
143.8559941,-37.562706,
143.8561409,-37.56314106,
143.8559451,-37.56313458,
143.8561561,-37.56316248,
143.85712,-37.56799602,
143.841035,-37.59804306,
143.859287,-37.56273696,
143.8653749,-37.5626709,
143.8591705,-37.56050568,
143.785505,-37.54388736,
143.7853248,-37.54370295,
143.8639965,-37.56206439,
143.8566221,-37.56399903,
143.8531033,-37.5630138,
143.8557131,-37.55820204,
143.8544264,-37.56315798,
143.8546711,-37.56270978,
143.8545089,-37.56280806,
143.8610197,-37.56027537,
143.860698,-37.56251547,
143.831673,-37.53085401,
143.827988,-37.539981,
143.827753,-37.54024803,
143.8581672,-37.5600105,
143.857948,-37.56115071,
143.8581492,-37.55950794,
143.8580799,-37.56105306,
143.857579,-37.56255399,
143.8576538,-37.56235014,
143.8548664,-37.55911086,
143.8569599,-37.55973402,
143.8549997,-37.55928762,
143.8559896,-37.55961378,
143.856007,-37.55960505,
143.8578108,-37.55960667,
143.8483059,-37.55875914,
143.8639187,-37.56043278,
143.8639979,-37.560546,
143.8404511,-37.58210901,
143.8517376,-37.56097008,
143.8507242,-37.56101832,
143.8469941,-37.56091869,
143.8484794,-37.5610995,
143.8507361,-37.56142503,
143.8414974,-37.56043449,
143.8447252,-37.56069144,
143.8587326,-37.56228102,
143.8537687,-37.56172212,
143.8470729,-37.56094308,
143.8466692,-37.56090348,
143.8456304,-37.56077424,
143.844741,-37.56068271,
143.8422894,-37.56035556,
143.841591,-37.56030687,
143.8417422,-37.55983275,
143.8517113,-37.5610203,
143.8537367,-37.56126618,
143.860504,-37.56210516,
143.8590541,-37.56184299,
143.8510801,-37.561311,
143.8543919,-37.56189402,
143.8483772,-37.56113406,
143.853664,-37.56177,
143.855231,-37.56150693,
143.8686551,-37.56205197,
143.8840964,-37.64990853,
